LanePointX,LanePointY
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
-1.646000,0.000000
